4.3303 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.3312 	INFO 	Loaded monitor calibration from ['2025_03_07 15:28']
4.5221 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D41F6564A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D41F656740>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D41F71A620>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.5222 	EXP 	window1: backgroundImage = ''
4.5222 	EXP 	window1: backgroundFit = 'none'
4.5282 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5289 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5295 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5302 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5309 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5312 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5318 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5325 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5327 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5331 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5336 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5341 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5347 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5352 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5356 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5362 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5367 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5371 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5375 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5381 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5385 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5388 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5426 	DEBUG 	Upload of Texture Font fontname complete
4.5475 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5483 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5491 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5493 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5514 	DEBUG 	Upload of Texture Font fontname complete
4.5528 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.5529 	EXP 	window1: recordFrameIntervals = False
4.6228 	EXP 	window1: recordFrameIntervals = True
4.6901 	EXP 	Screen (0) actual frame rate measured at 163.90Hz
4.6902 	EXP 	window1: recordFrameIntervals = False
4.6946 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6951 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6958 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6965 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6972 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6979 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6983 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6990 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.6997 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.7004 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.7006 	DEBUG 	Uploading Texture Font fontname to graphics card
4.7011 	DEBUG 	Upload of Texture Font fontname complete
4.7099 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
6.6769 	INFO 	keyboard.Keyboard is using iohub backend.
6.6769 	INFO 	keyboard.Keyboard is using iohub backend.
6.6770 	INFO 	keyboard.Keyboard is using iohub backend.
6.6770 	EXP 	project: status = STARTED
