block,trial,image,type
3,1,faces/unknown/unknown_286.jpg,unknown
3,2,faces/known/known_11.jpg,known
3,3,faces/known/known_92.jpg,known
3,4,faces/known/known_120.jpg,known
3,5,faces/unknown/unknown_90.jpg,unknown
3,6,faces/unknown/unknown_34.jpg,unknown
3,7,faces/unknown/unknown_9.jpg,unknown
3,8,faces/unknown/unknown_211.jpg,unknown
3,9,faces/known/known_58.jpg,known
3,10,faces/unknown/unknown_185.jpg,unknown
3,11,faces/known/known_10.jpg,known
3,12,faces/unknown/unknown_243.jpg,unknown
3,13,faces/unknown/unknown_257.jpg,unknown
3,14,faces/known/known_136.jpg,known
3,15,faces/known/known_15.jpg,known
3,16,faces/known/known_80.jpg,known
3,17,faces/known/known_51.jpg,known
3,18,faces/known/known_103.jpg,known
3,19,faces/known/known_104.jpg,known
3,20,faces/unknown/unknown_276.jpg,unknown
3,21,faces/known/known_144.jpg,known
3,22,faces/known/known_14.jpg,known
3,23,faces/known/known_18.jpg,known
3,24,faces/unknown/unknown_58.jpg,unknown
3,25,faces/unknown/unknown_169.jpg,unknown
3,26,faces/known/known_143.jpg,known
3,27,faces/known/known_67.jpg,known
3,28,faces/unknown/unknown_252.jpg,unknown
3,29,faces/known/known_76.jpg,known
3,30,faces/known/known_47.jpg,known
3,31,faces/known/known_102.jpg,known
3,32,faces/unknown/unknown_202.jpg,unknown
3,33,faces/unknown/unknown_116.jpg,unknown
3,34,faces/unknown/unknown_259.jpg,unknown
3,35,faces/known/known_84.jpg,known
3,36,faces/unknown/unknown_270.jpg,unknown
3,37,faces/known/known_17.jpg,known
3,38,faces/unknown/unknown_13.jpg,unknown
3,39,faces/unknown/unknown_165.jpg,unknown
3,40,faces/unknown/unknown_38.jpg,unknown
3,41,faces/unknown/unknown_132.jpg,unknown
3,42,faces/known/known_146.jpg,known
3,43,faces/unknown/unknown_0.jpg,unknown
3,44,faces/unknown/unknown_59.jpg,unknown
3,45,faces/unknown/unknown_33.jpg,unknown
3,46,faces/known/known_105.jpg,known
3,47,faces/known/known_23.jpg,known
3,48,faces/known/known_41.jpg,known
3,49,faces/unknown/unknown_152.jpg,unknown
3,50,faces/known/known_138.jpg,known
3,51,faces/unknown/unknown_12.jpg,unknown
3,52,faces/known/known_16.jpg,known
3,53,faces/known/known_137.jpg,known
3,54,faces/unknown/unknown_224.jpg,unknown
3,55,faces/unknown/unknown_239.jpg,unknown
3,56,faces/known/known_5.jpg,known
3,57,faces/unknown/unknown_267.jpg,unknown
3,58,faces/known/known_31.jpg,known
3,59,faces/unknown/unknown_281.jpg,unknown
3,60,faces/unknown/unknown_61.jpg,unknown
