block,trial,image,type
4,1,faces/unknown/unknown_5.jpg,unknown
4,2,faces/unknown/unknown_131.jpg,unknown
4,3,faces/unknown/unknown_53.jpg,unknown
4,4,faces/unknown/unknown_13.jpg,unknown
4,5,faces/unknown/unknown_133.jpg,unknown
4,6,faces/unknown/unknown_109.jpg,unknown
4,7,faces/unknown/unknown_78.jpg,unknown
4,8,faces/unknown/unknown_195.jpg,unknown
4,9,faces/unknown/unknown_52.jpg,unknown
4,10,faces/unknown/unknown_173.jpg,unknown
4,11,faces/unknown/unknown_246.jpg,unknown
4,12,faces/unknown/unknown_29.jpg,unknown
4,13,faces/unknown/unknown_244.jpg,unknown
4,14,faces/unknown/unknown_106.jpg,unknown
4,15,faces/unknown/unknown_186.jpg,unknown
4,16,faces/unknown/unknown_90.jpg,unknown
4,17,faces/unknown/unknown_266.jpg,unknown
4,18,faces/unknown/unknown_165.jpg,unknown
4,19,faces/unknown/unknown_136.jpg,unknown
4,20,faces/unknown/unknown_32.jpg,unknown
4,21,faces/unknown/unknown_297.jpg,unknown
4,22,faces/unknown/unknown_103.jpg,unknown
4,23,faces/unknown/unknown_269.jpg,unknown
4,24,faces/unknown/unknown_293.jpg,unknown
4,25,faces/unknown/unknown_182.jpg,unknown
4,26,faces/unknown/unknown_205.jpg,unknown
4,27,faces/unknown/unknown_89.jpg,unknown
4,28,faces/unknown/unknown_141.jpg,unknown
4,29,faces/unknown/unknown_217.jpg,unknown
4,30,faces/unknown/unknown_31.jpg,unknown
4,31,faces/unknown/unknown_158.jpg,unknown
4,32,faces/unknown/unknown_248.jpg,unknown
4,33,faces/unknown/unknown_81.jpg,unknown
4,34,faces/unknown/unknown_4.jpg,unknown
4,35,faces/unknown/unknown_256.jpg,unknown
4,36,faces/unknown/unknown_154.jpg,unknown
4,37,faces/unknown/unknown_98.jpg,unknown
4,38,faces/unknown/unknown_47.jpg,unknown
4,39,faces/unknown/unknown_119.jpg,unknown
4,40,faces/unknown/unknown_55.jpg,unknown
4,41,faces/unknown/unknown_130.jpg,unknown
4,42,faces/unknown/unknown_202.jpg,unknown
4,43,faces/unknown/unknown_125.jpg,unknown
4,44,faces/unknown/unknown_155.jpg,unknown
4,45,faces/unknown/unknown_235.jpg,unknown
4,46,faces/unknown/unknown_213.jpg,unknown
4,47,faces/unknown/unknown_273.jpg,unknown
4,48,faces/unknown/unknown_284.jpg,unknown
