block,trial,image,type
1,1,faces/known/known_125.jpg,known
1,2,faces/unknown/unknown_233.jpg,unknown
1,3,faces/known/known_79.jpg,known
1,4,faces/unknown/unknown_253.jpg,unknown
1,5,faces/unknown/unknown_142.jpg,unknown
1,6,faces/unknown/unknown_141.jpg,unknown
1,7,faces/unknown/unknown_120.jpg,unknown
1,8,faces/known/known_28.jpg,known
1,9,faces/known/known_63.jpg,known
1,10,faces/known/known_97.jpg,known
1,11,faces/unknown/unknown_248.jpg,unknown
1,12,faces/known/known_132.jpg,known
1,13,faces/unknown/unknown_264.jpg,unknown
1,14,faces/known/known_128.jpg,known
1,15,faces/known/known_43.jpg,known
1,16,faces/unknown/unknown_273.jpg,unknown
1,17,faces/unknown/unknown_69.jpg,unknown
1,18,faces/known/known_81.jpg,known
1,19,faces/known/known_85.jpg,known
1,20,faces/unknown/unknown_145.jpg,unknown
1,21,faces/known/known_109.jpg,known
1,22,faces/unknown/unknown_123.jpg,unknown
1,23,faces/known/known_39.jpg,known
1,24,faces/known/known_62.jpg,known
1,25,faces/known/known_27.jpg,known
1,26,faces/known/known_45.jpg,known
1,27,faces/unknown/unknown_175.jpg,unknown
1,28,faces/unknown/unknown_226.jpg,unknown
1,29,faces/unknown/unknown_119.jpg,unknown
1,30,faces/known/known_61.jpg,known
1,31,faces/unknown/unknown_179.jpg,unknown
1,32,faces/unknown/unknown_280.jpg,unknown
1,33,faces/unknown/unknown_298.jpg,unknown
1,34,faces/unknown/unknown_180.jpg,unknown
1,35,faces/unknown/unknown_296.jpg,unknown
1,36,faces/known/known_98.jpg,known
1,37,faces/known/known_33.jpg,known
1,38,faces/known/known_117.jpg,known
1,39,faces/known/known_54.jpg,known
1,40,faces/unknown/unknown_197.jpg,unknown
1,41,faces/unknown/unknown_208.jpg,unknown
1,42,faces/unknown/unknown_189.jpg,unknown
1,43,faces/known/known_100.jpg,known
1,44,faces/known/known_13.jpg,known
1,45,faces/unknown/unknown_100.jpg,unknown
1,46,faces/known/known_9.jpg,known
1,47,faces/known/known_73.jpg,known
1,48,faces/known/known_60.jpg,known
1,49,faces/unknown/unknown_222.jpg,unknown
1,50,faces/known/known_20.jpg,known
1,51,faces/unknown/unknown_260.jpg,unknown
1,52,faces/known/known_68.jpg,known
1,53,faces/known/known_107.jpg,known
1,54,faces/unknown/unknown_173.jpg,unknown
1,55,faces/unknown/unknown_102.jpg,unknown
1,56,faces/unknown/unknown_62.jpg,unknown
1,57,faces/known/known_57.jpg,known
1,58,faces/unknown/unknown_43.jpg,unknown
1,59,faces/unknown/unknown_92.jpg,unknown
1,60,faces/known/known_8.jpg,known
